word,ssc_10_rel_error,ssc_25_rel_error,ssc_50_rel_error,ssc_70_rel_error
acometemos, 10, 1.0
acometen, 10, 0.0
acometer, 10, 0.0
acometerla, 10, 1.0
acometerlas, 10, 1.0
acometería, 10, 1.0
acometida, 10, 0.0
acometido, 10, 0.333
acometidos, 10, 1.0
acometiendo, 10, 0.5
acometiera, 10, 1.0
acometieran, 10, 1.0
acometieron, 10, 0.5
acometiese, 10, 1.0
acometimientos, 10, 0.333
acometiéndoos, 10, 1.0
acometiéronnos, 10, 1.0
acometió, 10, 0.0
acometí, 10, 0.0
acometía, 10, 0.0
acomodaba, 10, 0.0
acomodada, 10, 0.5
acomodado, 10, 0.0
acomodados, 10, 0.143
acomodan, 10, 0.0
acomodando, 10, 1.0
acomodar, 10, 0.167
acomodarle, 10, 1.0
acomodarme, 10, 1.0
acomodaron, 10, 0.2
acomodarse, 10, 0.143
acomodarán, 10, 1.0
acomodaría, 10, 1.0
acomodasen, 10, 0.5
acomode, 10, 0.0
acomodádolas, 10, 1.0
acomodádose, 10, 1.0
acomodándole, 10, 1.0
acomodándome, 10, 1.0
acomodándoos, 10, 1.0
acomodándose, 10, 0.333
acomodáremos, 10, 1.0
acomodáronme, 10, 1.0
acomodársele, 10, 1.0
acomodó, 10, 0.0
acomodóle, 10, 0.0
acomodóse, 10, 0.5
acompaña, 10, 0.0
acompañaba, 10, 0.333
acompañaban, 10, 0.111
acompañada, 10, 0.2
acompañadas, 10, 0.5
acompañado, 10, 0.167
acompañador, 10, 1.0
acompañados, 10, 0.167
acompañamiento, 10, 0.125
acompañamos, 10, 0.333
acompañan, 10, 0.0
acompañando, 10, 0.333
acompañar, 10, 0.091
acompañaremos, 10, 1.0
acompañarla, 10, 0.5
acompañarle, 10, 0.5
acompañarles, 10, 1.0
acompañarme, 10, 1.0
acompañaron, 10, 0.25
acompañaros, 10, 1.0
acompañarse, 10, 1.0
acompañase, 10, 0.25
acompañasen, 10, 0.5
acompañe, 10, 0.0
acompañen, 10, 0.0
acompañámosla, 10, 1.0
acompañáramos, 10, 1.0
acomódale, 10, 0.0
acondicionado, 10, 1.0
aconseja, 10, 0.0
aconsejaba, 10, 0.2
aconsejada, 10, 0.5
aconsejado, 10, 0.25
aconsejando, 10, 1.0
aconsejar, 10, 0.0
aconsejara, 10, 1.0
aconsejaremos, 10, 1.0
aconsejarla, 10, 1.0
aconsejarle, 10, 1.0
aconsejarme, 10, 0.5
aconsejaron, 10, 1.0
aconsejarte, 10, 0.333
aconsejaría, 10, 1.0
